Month,area,regional,networksite,site_id,Availability (Ave),site_class,target (%),Achievement
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY462,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY466,99.98,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY468,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY469,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY472,99.97,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY473,99.94,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY474,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY476,99.89,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY480,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY490,99.98,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY491,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY493,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY495,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY496,99.83,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY497,99.89,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY500,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY501,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY502,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY503,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY508,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY509,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY511,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY512,99.61,Platinum,99.88,Not Achieved
